"Field","Type","Null","Key","Default","Extra"
"CertKey","varchar(20)","YES","","",""
"WORD_82","varchar(2)","YES","","",""
"WORD_83","varchar(2)","YES","","",""
"WORD_84","varchar(2)","YES","","",""
"WORD_85","varchar(2)","YES","","",""
"WORD_86","varchar(2)","YES","","",""
"WORD_87","varchar(2)","YES","","",""
"WORD_SATA","varchar(2)","YES","","",""
"WORD_SCT","varchar(2)","YES","","",""
"SMART_RAW_1","varchar(16)","YES","","",""
"SMART_RAW_2","varchar(16)","YES","","",""
"SMART_RAW_3","varchar(16)","YES","","",""
"SMART_RAW_4","varchar(16)","YES","","",""
"SMART_RAW_5","varchar(16)","YES","","",""
"SMART_RAW_6","varchar(16)","YES","","",""
"SMART_RAW_7","varchar(16)","YES","","",""
"SMART_RAW_8","varchar(16)","YES","","",""
"SMART_RAW_9","varchar(16)","YES","","",""
"SMART_RAW_10","varchar(16)","YES","","",""
"SMART_RAW_11","varchar(16)","YES","","",""
"SMART_RAW_12","varchar(16)","YES","","",""
"SMART_RAW_13","varchar(16)","YES","","",""
"SMART_RAW_14","varchar(16)","YES","","",""
"SMART_RAW_15","varchar(16)","YES","","",""
"SMART_RAW_16","varchar(16)","YES","","",""
"SMART_RAW_17","varchar(16)","YES","","",""
"SMART_RAW_18","varchar(16)","YES","","",""
"SMART_RAW_19","varchar(16)","YES","","",""
"SMART_RAW_20","varchar(16)","YES","","",""
"SMART_RAW_21","varchar(16)","YES","","",""
"SMART_RAW_22","varchar(16)","YES","","",""
"SMART_RAW_23","varchar(16)","YES","","",""
"SMART_RAW_24","varchar(16)","YES","","",""
"SMART_RAW_25","varchar(16)","YES","","",""
"SMART_RAW_26","varchar(16)","YES","","",""
"SMART_RAW_27","varchar(16)","YES","","",""
"SMART_RAW_28","varchar(16)","YES","","",""
"SMART_RAW_29","varchar(16)","YES","","",""
"SMART_RAW_30","varchar(16)","YES","","",""
"SMART_RAW_31","varchar(16)","YES","","",""
"SMART_RAW_32","varchar(16)","YES","","",""
"SMART_RAW_33","varchar(16)","YES","","",""
"SMART_RAW_34","varchar(16)","YES","","",""
"SMART_RAW_35","varchar(16)","YES","","",""
"SMART_RAW_36","varchar(16)","YES","","",""
"SMART_RAW_37","varchar(16)","YES","","",""
"SMART_RAW_38","varchar(16)","YES","","",""
"SMART_RAW_39","varchar(16)","YES","","",""
"SMART_RAW_40","varchar(16)","YES","","",""
"SMART_RAW_41","varchar(16)","YES","","",""
"SMART_RAW_42","varchar(16)","YES","","",""
"SMART_RAW_43","varchar(16)","YES","","",""
"SMART_RAW_44","varchar(16)","YES","","",""
"SMART_RAW_45","varchar(16)","YES","","",""
"SMART_RAW_46","varchar(16)","YES","","",""
"SMART_RAW_47","varchar(16)","YES","","",""
"SMART_RAW_48","varchar(16)","YES","","",""
"SMART_RAW_49","varchar(16)","YES","","",""
"SMART_RAW_50","varchar(16)","YES","","",""
"SMART_RAW_51","varchar(16)","YES","","",""
"SMART_RAW_52","varchar(16)","YES","","",""
"SMART_RAW_53","varchar(16)","YES","","",""
"SMART_RAW_54","varchar(16)","YES","","",""
"SMART_RAW_55","varchar(16)","YES","","",""
"SMART_RAW_56","varchar(16)","YES","","",""
"SMART_RAW_57","varchar(16)","YES","","",""
"SMART_RAW_58","varchar(16)","YES","","",""
"SMART_RAW_59","varchar(16)","YES","","",""
"SMART_RAW_60","varchar(16)","YES","","",""
"SMART_RAW_61","varchar(16)","YES","","",""
"SMART_RAW_62","varchar(16)","YES","","",""
"SMART_RAW_63","varchar(16)","YES","","",""
"SMART_RAW_64","varchar(16)","YES","","",""
"SMART_RAW_65","varchar(16)","YES","","",""
"SMART_RAW_66","varchar(16)","YES","","",""
"SMART_RAW_67","varchar(16)","YES","","",""
"SMART_RAW_68","varchar(16)","YES","","",""
"SMART_RAW_69","varchar(16)","YES","","",""
"SMART_RAW_70","varchar(16)","YES","","",""
"SMART_RAW_71","varchar(16)","YES","","",""
"SMART_RAW_72","varchar(16)","YES","","",""
"SMART_RAW_73","varchar(16)","YES","","",""
"SMART_RAW_74","varchar(16)","YES","","",""
"SMART_RAW_75","varchar(16)","YES","","",""
"SMART_RAW_76","varchar(16)","YES","","",""
"SMART_RAW_77","varchar(16)","YES","","",""
"SMART_RAW_78","varchar(16)","YES","","",""
"SMART_RAW_79","varchar(16)","YES","","",""
"SMART_RAW_80","varchar(16)","YES","","",""
"SMART_RAW_81","varchar(16)","YES","","",""
"SMART_RAW_82","varchar(16)","YES","","",""
"SMART_RAW_83","varchar(16)","YES","","",""
"SMART_RAW_84","varchar(16)","YES","","",""
"SMART_RAW_85","varchar(16)","YES","","",""
"SMART_RAW_86","varchar(16)","YES","","",""
"SMART_RAW_87","varchar(16)","YES","","",""
"SMART_RAW_88","varchar(16)","YES","","",""
"SMART_RAW_89","varchar(16)","YES","","",""
"SMART_RAW_90","varchar(16)","YES","","",""
"SMART_RAW_91","varchar(16)","YES","","",""
"SMART_RAW_92","varchar(16)","YES","","",""
"SMART_RAW_93","varchar(16)","YES","","",""
"SMART_RAW_94","varchar(16)","YES","","",""
"SMART_RAW_95","varchar(16)","YES","","",""
"SMART_RAW_96","varchar(16)","YES","","",""
"SMART_RAW_97","varchar(16)","YES","","",""
"SMART_RAW_98","varchar(16)","YES","","",""
"SMART_RAW_99","varchar(16)","YES","","",""
"SMART_RAW_100","varchar(16)","YES","","",""
"SMART_RAW_101","varchar(16)","YES","","",""
"SMART_RAW_102","varchar(16)","YES","","",""
"SMART_RAW_103","varchar(16)","YES","","",""
"SMART_RAW_104","varchar(16)","YES","","",""
"SMART_RAW_105","varchar(16)","YES","","",""
"SMART_RAW_106","varchar(16)","YES","","",""
"SMART_RAW_107","varchar(16)","YES","","",""
"SMART_RAW_108","varchar(16)","YES","","",""
"SMART_RAW_109","varchar(16)","YES","","",""
"SMART_RAW_110","varchar(16)","YES","","",""
"SMART_RAW_111","varchar(16)","YES","","",""
"SMART_RAW_112","varchar(16)","YES","","",""
"SMART_RAW_113","varchar(16)","YES","","",""
"SMART_RAW_114","varchar(16)","YES","","",""
"SMART_RAW_115","varchar(16)","YES","","",""
"SMART_RAW_116","varchar(16)","YES","","",""
"SMART_RAW_117","varchar(16)","YES","","",""
"SMART_RAW_118","varchar(16)","YES","","",""
"SMART_RAW_119","varchar(16)","YES","","",""
"SMART_RAW_120","varchar(16)","YES","","",""
"SMART_RAW_121","varchar(16)","YES","","",""
"SMART_RAW_122","varchar(16)","YES","","",""
"SMART_RAW_123","varchar(16)","YES","","",""
"SMART_RAW_124","varchar(16)","YES","","",""
"SMART_RAW_125","varchar(16)","YES","","",""
"SMART_RAW_126","varchar(16)","YES","","",""
"SMART_RAW_127","varchar(16)","YES","","",""
"SMART_RAW_128","varchar(16)","YES","","",""
"SMART_RAW_129","varchar(16)","YES","","",""
"SMART_RAW_130","varchar(16)","YES","","",""
"SMART_RAW_131","varchar(16)","YES","","",""
"SMART_RAW_132","varchar(16)","YES","","",""
"SMART_RAW_133","varchar(16)","YES","","",""
"SMART_RAW_134","varchar(16)","YES","","",""
"SMART_RAW_135","varchar(16)","YES","","",""
"SMART_RAW_136","varchar(16)","YES","","",""
"SMART_RAW_137","varchar(16)","YES","","",""
"SMART_RAW_138","varchar(16)","YES","","",""
"SMART_RAW_139","varchar(16)","YES","","",""
"SMART_RAW_140","varchar(16)","YES","","",""
"SMART_RAW_141","varchar(16)","YES","","",""
"SMART_RAW_142","varchar(16)","YES","","",""
"SMART_RAW_143","varchar(16)","YES","","",""
"SMART_RAW_144","varchar(16)","YES","","",""
"SMART_RAW_145","varchar(16)","YES","","",""
"SMART_RAW_146","varchar(16)","YES","","",""
"SMART_RAW_147","varchar(16)","YES","","",""
"SMART_RAW_148","varchar(16)","YES","","",""
"SMART_RAW_149","varchar(16)","YES","","",""
"SMART_RAW_150","varchar(16)","YES","","",""
"SMART_RAW_151","varchar(16)","YES","","",""
"SMART_RAW_152","varchar(16)","YES","","",""
"SMART_RAW_153","varchar(16)","YES","","",""
"SMART_RAW_154","varchar(16)","YES","","",""
"SMART_RAW_155","varchar(16)","YES","","",""
"SMART_RAW_156","varchar(16)","YES","","",""
"SMART_RAW_157","varchar(16)","YES","","",""
"SMART_RAW_158","varchar(16)","YES","","",""
"SMART_RAW_159","varchar(16)","YES","","",""
"SMART_RAW_160","varchar(16)","YES","","",""
"SMART_RAW_161","varchar(16)","YES","","",""
"SMART_RAW_162","varchar(16)","YES","","",""
"SMART_RAW_163","varchar(16)","YES","","",""
"SMART_RAW_164","varchar(16)","YES","","",""
"SMART_RAW_165","varchar(16)","YES","","",""
"SMART_RAW_166","varchar(16)","YES","","",""
"SMART_RAW_167","varchar(16)","YES","","",""
"SMART_RAW_168","varchar(16)","YES","","",""
"SMART_RAW_169","varchar(16)","YES","","",""
"SMART_RAW_170","varchar(16)","YES","","",""
"SMART_RAW_171","varchar(16)","YES","","",""
"SMART_RAW_172","varchar(16)","YES","","",""
"SMART_RAW_173","varchar(16)","YES","","",""
"SMART_RAW_174","varchar(16)","YES","","",""
"SMART_RAW_175","varchar(16)","YES","","",""
"SMART_RAW_176","varchar(16)","YES","","",""
"SMART_RAW_177","varchar(16)","YES","","",""
"SMART_RAW_178","varchar(16)","YES","","",""
"SMART_RAW_179","varchar(16)","YES","","",""
"SMART_RAW_180","varchar(16)","YES","","",""
"SMART_RAW_181","varchar(16)","YES","","",""
"SMART_RAW_182","varchar(16)","YES","","",""
"SMART_RAW_183","varchar(16)","YES","","",""
"SMART_RAW_184","varchar(16)","YES","","",""
"SMART_RAW_185","varchar(16)","YES","","",""
"SMART_RAW_186","varchar(16)","YES","","",""
"SMART_RAW_187","varchar(16)","YES","","",""
"SMART_RAW_188","varchar(16)","YES","","",""
"SMART_RAW_189","varchar(16)","YES","","",""
"SMART_RAW_190","varchar(16)","YES","","",""
"SMART_RAW_191","varchar(16)","YES","","",""
"SMART_RAW_192","varchar(16)","YES","","",""
"SMART_RAW_193","varchar(16)","YES","","",""
"SMART_RAW_194","varchar(16)","YES","","",""
"SMART_RAW_195","varchar(16)","YES","","",""
"SMART_RAW_196","varchar(16)","YES","","",""
"SMART_RAW_197","varchar(16)","YES","","",""
"SMART_RAW_198","varchar(16)","YES","","",""
"SMART_RAW_199","varchar(16)","YES","","",""
"SMART_RAW_200","varchar(16)","YES","","",""
"SMART_RAW_201","varchar(16)","YES","","",""
"SMART_RAW_202","varchar(16)","YES","","",""
"SMART_RAW_203","varchar(16)","YES","","",""
"SMART_RAW_204","varchar(16)","YES","","",""
"SMART_RAW_205","varchar(16)","YES","","",""
"SMART_RAW_206","varchar(16)","YES","","",""
"SMART_RAW_207","varchar(16)","YES","","",""
"SMART_RAW_208","varchar(16)","YES","","",""
"SMART_RAW_209","varchar(16)","YES","","",""
"SMART_RAW_210","varchar(16)","YES","","",""
"SMART_RAW_211","varchar(16)","YES","","",""
"SMART_RAW_212","varchar(16)","YES","","",""
"SMART_RAW_213","varchar(16)","YES","","",""
"SMART_RAW_214","varchar(16)","YES","","",""
"SMART_RAW_215","varchar(16)","YES","","",""
"SMART_RAW_216","varchar(16)","YES","","",""
"SMART_RAW_217","varchar(16)","YES","","",""
"SMART_RAW_218","varchar(16)","YES","","",""
"SMART_RAW_219","varchar(16)","YES","","",""
"SMART_RAW_220","varchar(16)","YES","","",""
"SMART_RAW_221","varchar(16)","YES","","",""
"SMART_RAW_222","varchar(16)","YES","","",""
"SMART_RAW_223","varchar(16)","YES","","",""
"SMART_RAW_224","varchar(16)","YES","","",""
"SMART_RAW_225","varchar(16)","YES","","",""
"SMART_RAW_226","varchar(16)","YES","","",""
"SMART_RAW_227","varchar(16)","YES","","",""
"SMART_RAW_228","varchar(16)","YES","","",""
"SMART_RAW_229","varchar(16)","YES","","",""
"SMART_RAW_230","varchar(16)","YES","","",""
"SMART_RAW_231","varchar(16)","YES","","",""
"SMART_RAW_232","varchar(16)","YES","","",""
"SMART_RAW_233","varchar(16)","YES","","",""
"SMART_RAW_234","varchar(16)","YES","","",""
"SMART_RAW_235","varchar(16)","YES","","",""
"SMART_RAW_236","varchar(16)","YES","","",""
"SMART_RAW_237","varchar(16)","YES","","",""
"SMART_RAW_238","varchar(16)","YES","","",""
"SMART_RAW_239","varchar(16)","YES","","",""
"SMART_RAW_240","varchar(16)","YES","","",""
"SMART_RAW_241","varchar(16)","YES","","",""
"SMART_RAW_242","varchar(16)","YES","","",""
"SMART_RAW_243","varchar(16)","YES","","",""
"SMART_RAW_244","varchar(16)","YES","","",""
"SMART_RAW_245","varchar(16)","YES","","",""
"SMART_RAW_246","varchar(16)","YES","","",""
"SMART_RAW_247","varchar(16)","YES","","",""
"SMART_RAW_248","varchar(16)","YES","","",""
"SMART_RAW_249","varchar(16)","YES","","",""
"SMART_RAW_250","varchar(16)","YES","","",""
"SMART_RAW_251","varchar(16)","YES","","",""
"SMART_RAW_252","varchar(16)","YES","","",""
"SMART_RAW_253","varchar(16)","YES","","",""
"SMART_RAW_254","varchar(16)","YES","","",""
"SMART_RAW_255","varchar(16)","YES","","",""
"critical_warning","varchar(16)","YES","","",""
"Available_Spare_first","varchar(16)","YES","","",""
"temp_threshold","varchar(16)","YES","","",""
"nvm_subsystem_reliability","varchar(16)","YES","","",""
"read_only","varchar(16)","YES","","",""
"volatile_mem","varchar(16)","YES","","",""
"persistent_mem","varchar(16)","YES","","",""
"available_spare","varchar(16)","YES","","",""
"available_spare_threshold","varchar(16)","YES","","",""
"endurance_group_critical_warning_summary","varchar(16)","YES","","",""
"host_read_commands","varchar(16)","YES","","",""
"host_write_commands","varchar(16)","YES","","",""
"controller_busy_time","varchar(16)","YES","","",""
"power_cycles","varchar(16)","YES","","",""
"unsafe_shutdowns","varchar(16)","YES","","",""
"media_errors","varchar(16)","YES","","",""
"num_err_log_entries","varchar(16)","YES","","",""
"Warning_Temperature_Time","varchar(16)","YES","","",""
"Critical_Composite_Temperature_Time","varchar(16)","YES","","",""
"Temp_Sensor_1","varchar(16)","YES","","",""
"Temp_Sensor_2","varchar(16)","YES","","",""
"Temp_Sensor_3","varchar(16)","YES","","",""
"TM_T1_Trans_Count","varchar(16)","YES","","",""
"TM_T2_Trans_Count","varchar(16)","YES","","",""
"TM_T1_Total_Time","varchar(16)","YES","","",""
"TM_T2_Total_Time","varchar(16)","YES","","",""
"InDateTime","timestamp","NO","MUL","CURRENT_TIMESTAMP","DEFAULT_GENERATED"
